Date,Resting,High
2024-01-31,54 bpm,144 bpm
2024-02-01,55 bpm,122 bpm
2024-02-02,55 bpm,112 bpm
2024-02-03,55 bpm,174 bpm
2024-02-04,54 bpm,139 bpm
2024-02-05,54 bpm,180 bpm
2024-02-06,54 bpm,131 bpm
2024-02-07,54 bpm,158 bpm
2024-02-08,57 bpm,106 bpm
2024-02-09,54 bpm,112 bpm
2024-02-10,53 bpm,117 bpm
2024-02-11,55 bpm,119 bpm
2024-02-12,56 bpm,130 bpm
2024-02-13,56 bpm,178 bpm
2024-02-14,54 bpm,123 bpm
2024-02-15,53 bpm,136 bpm
2024-02-16,57 bpm,114 bpm
2024-02-17,57 bpm,119 bpm
2024-02-18,55 bpm,190 bpm
2024-02-19,57 bpm,112 bpm
2024-02-20,56 bpm,107 bpm
2024-02-21,54 bpm,109 bpm
2024-02-22,55 bpm,119 bpm
2024-02-23,54 bpm,104 bpm
2024-02-24,52 bpm,106 bpm
2024-02-25,53 bpm,115 bpm
2024-02-26,55 bpm,147 bpm
2024-02-27,54 bpm,118 bpm
2024-02-28,53 bpm,105 bpm
2024-02-29,53 bpm,122 bpm
2024-03-01,53 bpm,104 bpm
2024-03-02,52 bpm,183 bpm
2024-03-03,56 bpm,158 bpm
2024-03-04,57 bpm,153 bpm
2024-03-05,56 bpm,154 bpm
2024-03-06,54 bpm,125 bpm
2024-03-07,55 bpm,157 bpm
2024-03-08,55 bpm,121 bpm
2024-03-09,54 bpm,157 bpm
2024-03-10,57 bpm,115 bpm
2024-03-11,55 bpm,136 bpm
2024-03-12,54 bpm,176 bpm
2024-03-13,56 bpm,149 bpm
2024-03-14,59 bpm,156 bpm
2024-03-15,57 bpm,157 bpm
2024-03-16,53 bpm,103 bpm
2024-03-17,54 bpm,118 bpm
2024-03-18,56 bpm,153 bpm
2024-03-19,55 bpm,243 bpm
2024-03-20,57 bpm,135 bpm
2024-03-21,56 bpm,119 bpm
2024-03-22,59 bpm,109 bpm
2024-03-23,55 bpm,116 bpm
2024-03-24,56 bpm,108 bpm
2024-03-25,57 bpm,148 bpm
2024-03-26,56 bpm,195 bpm
2024-03-27,54 bpm,114 bpm
2024-03-28,57 bpm,243 bpm
2024-03-29,56 bpm,126 bpm
2024-03-30,54 bpm,118 bpm
2024-03-31,60 bpm,109 bpm
2024-04-01,55 bpm,140 bpm
2024-04-02,51 bpm,172 bpm
2024-04-03,55 bpm,167 bpm
2024-04-04,58 bpm,109 bpm
2024-04-05,56 bpm,243 bpm
2024-04-06,55 bpm,104 bpm
2024-04-07,55 bpm,118 bpm
2024-04-08,54 bpm,134 bpm
2024-04-09,54 bpm,175 bpm
2024-04-10,57 bpm,112 bpm
2024-04-11,54 bpm,132 bpm
2024-04-12,55 bpm,156 bpm
2024-04-13,55 bpm,241 bpm
2024-04-14,57 bpm,115 bpm
2024-04-15,55 bpm,132 bpm
2024-04-16,55 bpm,111 bpm
2024-04-17,55 bpm,156 bpm
2024-04-18,57 bpm,176 bpm
2024-04-19,57 bpm,122 bpm
2024-04-20,53 bpm,155 bpm
2024-04-21,59 bpm,129 bpm
2024-04-22,60 bpm,176 bpm
2024-04-23,57 bpm,142 bpm
2024-04-24,55 bpm,115 bpm
2024-04-25,54 bpm,115 bpm
2024-04-26,59 bpm,116 bpm
2024-04-27,57 bpm,121 bpm
2024-04-28,56 bpm,125 bpm
2024-04-29,59 bpm,105 bpm
2024-04-30,55 bpm,184 bpm
2024-05-01,56 bpm,116 bpm
2024-05-02,55 bpm,100 bpm
