activity_type,activity_date,Title,distance_km,Calories,activity_time,avg_hr,max_hr,aerobic_te,avg_pace,best_pace,Distance,avg_resp
Walking,2024-02-21,"Bexar County Walking",1.45,81,0:20:50,95,120,0.4,14:21,7:44,NULL,0
Walking,2024-02-20,"Bexar County Walking",2.19,119,0:30:53,98,115,0.5,14:06,10:16,NULL,0
Walking,2024-02-19,"Bexar County Walking",1.46,82,0:22:34,96,108,0.3,15:29,7:12,NULL,0
Running,2024-02-18,"Austin - Ascension Seton Austin Marathon (Half Marathon)",21.35,1332,2:09:12,177,195,5.0,6:03,4:49,NULL,34
Yoga,2024-02-17,Yoga,0.00,125,0:37:16,100,120,0.2,,,NULL,16
Yoga,2024-02-17,Yoga,0.00,29,0:08:22,97,116,0.1,,,NULL,14
Walking,2024-02-17,"Bexar County Walking",1.20,68,0:15:15,107,122,0.4,12:42,7:58,NULL,0
Walking,2024-02-16,"Bexar County Walking",1.42,82,0:20:50,101,119,0.4,14:39,10:46,NULL,0
"Strength Training",2024-02-15,Strength,0.00,129,0:21:32,122,166,1.8,,,NULL,0
Walking,2024-02-14,"Bexar County Walking",1.67,95,0:21:38,93,151,0.6,12:56,5:02,NULL,0
Walking,2024-02-13,"Bexar County Walking",1.55,93,0:23:14,108,123,0.4,14:58,10:12,NULL,0
Cycling,2024-02-13,"Bexar County Cycling",8.31,240,0:30:24,153,187,2.9,16.4,33.8,NULL,27
Walking,2024-02-12,"Bexar County Walking",1.79,101,0:26:05,96,117,0.4,14:36,9:01,NULL,0
"Strength Training",2024-02-12,Strength,0.00,115,0:20:31,119,152,1.2,,,NULL,0
Walking,2024-02-11,"Bexar County Walking",1.10,74,0:17:46,108,125,0.4,16:08,9:33,NULL,0
Walking,2024-02-11,"Bexar County Walking",1.22,70,0:16:45,96,111,0.4,13:40,10:38,NULL,0
Walking,2024-02-09,"Bexar County Walking",1.89,105,0:28:14,98,120,0.3,14:55,7:50,NULL,0
Walking,2024-02-08,"Bexar County Walking",2.49,132,0:34:24,92,111,0.5,13:48,5:22,NULL,0
Walking,2024-02-07,"Bexar County Walking",1.21,70,0:19:01,94,108,0.3,15:47,10:46,NULL,0
Running,2024-02-07,"Bexar County Running",5.00,297,0:33:57,148,164,2.9,6:47,5:21,NULL,30
Walking,2024-02-06,"Bexar County Walking",2.09,115,0:35:49,82,102,0.3,17:08,10:05,NULL,0
"Strength Training",2024-02-06,Strength,0.00,90,0:21:58,104,146,0.6,,,NULL,0
Cycling,2024-02-05,"Bexar County Cycling",9.03,264,0:33:31,153,187,3.0,16.2,31.5,NULL,27
Soccer/Football,2024-02-04,"Boerne Soccer/Football",5.55,332,1:20:44,112,158,1.9,4.1,76.4,NULL,0
Running,2024-02-03,"Bexar County Running",6.43,390,0:45:15,154,188,3.2,7:02,4:26,NULL,30
Yoga,2024-02-02,Yoga,0.00,28,0:12:49,84,103,0.1,,,NULL,17
Walking,2024-02-02,"Bexar County Walking",2.28,135,0:35:03,101,124,0.5,15:22,9:12,NULL,0
Walking,2024-01-31,"Bexar County Walking",1.53,92,0:22:29,104,129,0.4,14:44,10:23,NULL,0
"Strength Training",2024-01-31,Strength,0.00,115,0:22:03,116,163,1.3,,,NULL,0
Walking,2024-01-30,"Bexar County Walking",1.50,85,0:21:03,109,124,0.4,14:02,11:01,NULL,0
Cycling,2024-01-30,"Bexar County Cycling",8.87,244,0:34:25,146,187,2.6,15.5,28.5,NULL,26
Running,2024-01-27,"San Antonio Running",15.03,985,1:34:05,176,198,5.0,6:16,4:44,NULL,35
Cycling,2024-01-25,"Bexar County Cycling",6.20,200,0:25:11,153,190,2.9,14.8,30.9,NULL,27
Running,2024-01-20,"Bexar County Running",14.03,859,1:37:56,156,180,3.8,6:59,6:12,NULL,30
Running,2024-01-18,"Bexar County Running",5.61,330,0:37:03,151,171,3.1,6:36,5:28,NULL,29
Running,2024-01-12,"Bexar County Running",11.26,695,1:16:26,158,183,3.8,6:47,5:39,NULL,31
Running,2024-01-09,"Bexar County Running",6.00,355,0:38:58,151,171,3.2,6:29,5:21,NULL,29
Running,2024-01-06,"Bexar County Running",12.00,758,1:19:45,164,180,4.1,6:39,3:26,NULL,33
Running,2024-01-04,"Bexar County Running",5.00,296,0:33:29,154,190,3.1,6:42,4:26,NULL,29
Running,2024-01-02,"Bexar County Running",5.00,313,0:35:47,147,174,3.0,7:09,6:16,NULL,0
Running,2023-12-29,"Bexar County Running",15.00,955,1:39:16,169,188,4.7,6:37,5:58,NULL,33
Running,2023-12-27,"Bexar County Running",5.00,297,0:32:28,155,192,3.2,6:29,4:24,NULL,30
Running,2023-12-26,"Bexar County Running",5.14,311,0:34:11,152,168,3.1,6:39,4:32,NULL,29
Yoga,2023-12-25,Yoga,0.00,38,0:15:18,89,102,0.1,,,NULL,16
Running,2023-12-23,"Bexar County Running",11.00,696,1:14:15,161,183,3.8,6:45,5:38,NULL,31
Running,2023-12-21,"Bexar County Running",7.00,424,0:48:10,150,177,3.2,6:53,3:40,NULL,30
Walking,2023-12-20,"Bexar County Walking",2.42,139,0:40:51,93,112,0.3,16:52,10:09,NULL,0
"Strength Training",2023-12-19,Strength,0.00,116,0:27:35,107,148,0.7,,,NULL,0
Walking,2023-12-19,"Bexar County Walking",1.33,76,0:20:04,93,109,0.3,15:08,9:12,NULL,0
Yoga,2023-12-18,Yoga,0.00,18,0:08:08,83,103,0.0,,,NULL,16
Walking,2023-12-18,"Bexar County Walking",1.22,66,0:16:43,98,113,0.3,13:41,10:02,NULL,0
Running,2023-12-18,"Bexar County Running",5.41,327,0:35:39,154,174,3.2,6:36,5:23,NULL,30
Running,2023-12-14,"Bexar County - W07D4a-Easy Run",5.00,300,0:32:03,158,189,3.3,6:24,5:24,NULL,29
Running,2023-12-07,"Bexar County Running",5.07,306,0:35:03,151,169,2.9,6:55,4:35,NULL,30
Walking,2023-11-21,"Bexar County Walking",1.93,113,0:25:28,115,130,0.6,13:12,6:46,NULL,0
Running,2023-11-16,"Bexar County Running",4.51,273,0:32:04,156,240,3.0,7:07,3:53,NULL,29
Running,2023-11-15,"Bexar County Running",5.00,304,0:33:21,152,170,3.0,6:40,5:48,NULL,30
Walking,2023-11-11,"Bexar County Walking",0.39,22,0:05:08,112,136,0.1,13:02,10:05,NULL,20
Running,2023-11-11,"Bexar County Running",10.00,605,1:10:01,150,164,3.3,7:00,5:33,NULL,31
Running,2023-11-08,"Bexar County - W03D3-Intervals",6.01,364,0:38:21,165,202,3.8,6:23,4:19,NULL,31
Running,2023-11-06,"Bexar County - Base",5.00,310,0:32:16,156,177,3.2,6:27,5:24,NULL,31
Running,2023-11-04,"Bexar County - Base",10.00,637,1:03:58,168,190,4.2,6:24,5:32,NULL,33
Yoga,2023-11-04,Yoga,0.00,104,0:40:07,92,121,0.2,,,NULL,17
Running,2023-11-01,"Bexar County Running",5.01,298,0:33:04,153,171,3.1,6:36,5:56,NULL,29
Running,2023-10-31,"Bexar County - W01D2-Easy Run",5.20,312,0:35:16,148,166,3.0,6:47,6:05,NULL,29
Running,2023-10-28,"Bexar County Running",5.53,348,0:35:09,165,191,3.5,6:21,5:23,NULL,32
Running,2023-10-22,"Bexar County Running",7.01,465,0:48:00,170,194,3.7,6:51,5:58,NULL,33
Running,2023-10-18,"Bexar County Running",4.00,250,0:26:39,152,173,3.0,6:40,6:12,NULL,32
Running,2023-10-14,"Bexar County Running",6.01,381,0:41:29,158,186,3.3,6:54,5:41,NULL,31
Walking,2023-10-11,"Bexar County Walking",1.23,69,0:18:26,96,115,0.3,15:00,11:01,NULL,0
Walking,2023-10-11,"Bexar County Walking",0.50,33,0:07:48,103,116,0.2,15:45,11:06,NULL,0
Running,2023-10-11,"Bexar County Running",5.00,307,0:33:30,153,177,3.1,6:42,5:26,NULL,30
Yoga,2023-10-10,Yoga,0.00,23,0:08:48,90,106,0.1,,,NULL,14
